35	113	31	80
41	115	30	83
35	113	31	80
34	112	30	79
42	109	26	79
41	110	26	79
41	116	26	83
38	113	23	80
42	108	30	79
42	109	26	79
42	98	23	72
42	109	26	79
45	108	22	79
42	110	22	79
42	109	26	79
42	109	26	79
42	103	29	76
38	99	25	72
42	104	23	76
43	99	24	73
45	106	30	79
39	100	24	73
42	98	25	72
35	101	25	72
43	92	31	70
38	87	26	65
41	90	20	67
46	95	23	72
41	90	20	67
45	89	20	67
45	89	20	67
45	89	20	67
48	91	27	70
49	86	20	67
48	87	20	67
46	85	18	65
47	83	22	65
41	79	17	60
42	78	17	60
42	78	17	60
42	77	21	60
44	74	19	58
46	77	17	60
44	75	15	58
44	74	23	59
38	73	17	56
38	73	17	56
44	74	19	58
44	74	19	58
44	64	13	52
45	70	17	56
39	64	15	50
44	64	17	52
42	62	15	50
44	64	17	52
42	62	15	50
44	64	17	52
42	62	15	50
42	61	17	50
47	60	15	50
44	61	17	50
41	58	14	47
41	58	14	47
41	58	14	47
41	58	14	47
38	55	11	44
41	58	14	47
44	57	12	47
41	58	14	47
41	53	11	44
44	57	12	47
34	47	2	37
39	51	9	42
39	51	9	42
42	48	13	42
35	41	6	35
39	50	13	42
35	41	6	35
35	42	2	35
38	45	2	38
37	43	8	37
36	42	2	35
37	43	8	37
35	41	6	35
35	41	10	35
33	39	8	33
33	39	8	33
33	39	8	33
33	39	8	33
33	39	8	33
33	39	8	33
24	29	0	24
33	39	8	33
26	32	1	26
27	32	1	26
23	29	0	23
21	24	0	20
20	24	0	20
25	28	0	23
24	28	0	23
20	25	0	20
24	29	0	24
20	24	0	20
13	17	0	13
20	24	0	20
13	17	0	13
20	24	0	20
13	17	0	13
13	17	0	13
21	24	0	20
13	16	0	13
13	16	0	13
13	16	0	13
11	13	0	10
11	13	0	10
10	13	0	10
10	13	0	10
10	13	0	10
10	13	0	10
4	6	0	4
10	13	0	10
4	7	0	5
10	13	0	10
11	13	0	10
5	7	0	5
5	7	0	5
10	13	0	10
5	7	0	5
5	7	0	5
2	3	0	2
2	4	0	2
5	1	0	2
5	1	0	2
2	3	0	2
5	6	0	5
2	4	0	2
1	2	0	1
2	3	0	2
2	4	0	2
2	4	0	2
2	3	0	2
2	4	0	2
1	3	0	2
0	2	0	1
1	2	0	1
4	0	0	1
1	3	0	2
1	2	0	1
1	2	0	1
1	2	0	1
4	0	0	1
1	2	0	1
1	2	0	1
1	2	0	1
1	2	0	1
1	2	0	1
1	1	0	0
1	1	0	0
4	0	0	1
1	1	0	0
4	0	0	1
4	0	0	1
4	0	0	1
4	0	0	1
4	0	0	1
4	0	0	1
4	0	0	1
4	0	0	1
4	0	0	1
4	0	0	1
4	0	0	1
4	0	0	1
4	0	0	1
4	0	0	1
1	2	0	1
1	2	0	1
1	1	0	0
1	1	0	0
1	1	0	0
1	1	0	0
1	2	0	1
4	0	0	1
1	2	0	1
1	1	0	0
1	1	0	0
1	1	0	0
4	0	0	1
1	1	0	0
4	0	0	1
4	0	0	1
1	1	0	0
4	0	0	1
4	0	0	1
4	0	0	1
4	0	0	1
4	0	0	1
1	1	0	0
4	0	0	1
1	1	0	0
4	0	0	1
4	0	0	1
4	0	0	1
4	0	0	1
1	1	0	0
1	1	0	0
4	0	0	1
1	1	0	0
1	1	0	0
1	1	0	0
1	1	0	0
4	0	0	1
4	0	0	1
