13	47	174	51
9	36	175	43
10	39	168	45
9	36	175	43
13	42	171	48
13	47	174	51
13	47	172	51
15	49	174	53
13	47	174	51
7	41	168	45
13	47	172	51
13	47	172	51
13	46	178	51
13	45	182	51
12	48	174	51
14	50	176	53
14	50	176	53
14	48	184	53
14	51	170	53
8	48	178	50
14	49	180	53
12	46	182	51
13	47	172	51
16	51	171	54
15	53	167	54
21	59	173	60
9	56	172	55
12	53	178	54
9	54	182	55
13	58	186	59
14	51	170	53
15	52	171	54
12	54	172	54
11	53	171	53
15	53	164	54
14	52	166	53
14	52	163	53
15	53	164	54
15	53	164	54
12	55	168	55
11	55	160	53
15	53	167	54
12	56	161	54
8	58	165	55
11	56	156	53
11	56	152	53
13	61	169	58
13	62	177	60
9	57	168	55
12	55	165	54
12	57	153	54
11	56	152	53
11	56	152	53
14	66	159	61
10	66	171	61
8	64	169	59
13	64	166	60
9	66	166	60
13	64	166	60
13	64	166	60
10	68	163	61
10	68	163	61
13	67	152	60
7	74	162	63
10	73	160	64
9	76	164	65
10	68	159	61
7	69	159	60
12	75	162	66
12	75	162	66
14	77	164	68
11	78	166	67
12	84	159	71
12	84	159	71
11	80	156	68
9	85	163	71
13	90	159	74
12	89	158	73
13	90	159	74
13	90	159	74
12	85	155	71
11	93	158	75
13	91	153	74
11	94	154	76
13	92	149	74
9	96	150	76
12	99	153	79
12	97	161	78
12	100	147	79
9	96	150	76
11	95	148	75
11	95	148	75
11	95	150	76
13	100	154	80
13	108	164	85
7	102	158	79
14	108	144	83
9	102	143	78
12	116	146	88
4	108	138	80
13	108	137	82
13	107	141	82
11	99	130	76
14	109	138	83
14	109	138	83
8	113	138	84
8	116	124	84
5	119	130	86
12	120	124	88
6	126	126	90
11	121	125	88
8	123	125	88
11	133	125	95
5	127	119	89
11	123	119	89
5	125	125	89
12	124	120	90
12	124	120	90
13	130	120	93
4	126	118	88
13	131	118	94
9	127	114	90
9	126	116	89
6	137	115	95
13	132	110	93
7	134	118	94
13	132	110	93
10	138	113	96
11	135	115	95
11	139	118	98
11	141	108	98
2	132	99	89
10	148	108	102
2	143	109	96
10	148	108	102
5	143	103	97
11	143	92	97
14	148	101	102
8	151	105	102
7	150	104	101
10	148	108	102
7	149	112	102
11	145	102	100
14	148	101	102
14	149	97	102
9	153	98	103
11	150	101	102
9	153	98	103
12	155	105	106
7	159	101	106
14	148	101	102
13	159	108	109
7	163	104	109
1	157	98	103
9	153	98	103
7	163	104	109
10	163	98	109
8	161	96	107
13	159	92	107
8	166	95	110
9	165	102	111
5	161	98	107
10	162	104	109
4	166	98	109
9	152	102	103
2	163	98	107
11	159	96	107
7	165	90	109
14	150	91	102
10	165	86	109
11	160	88	107
5	170	85	110
10	164	94	109
6	169	92	111
9	167	96	111
4	162	91	106
11	153	87	103
12	172	89	114
11	165	91	110
10	164	90	109
13	163	86	109
3	171	85	110
9	173	91	114
9	173	91	114
13	162	90	109
4	167	90	109
8	162	92	107
0	171	87	110
11	164	99	110
7	165	94	109
14	151	83	102
10	165	86	109
10	165	86	109
4	159	80	103
11	160	88	107
5	170	85	110
11	165	91	110
8	162	88	107
11	161	84	107
8	164	82	108
9	174	89	114
2	167	82	107
10	164	94	109
7	167	84	109
9	155	84	103
7	167	84	109
10	159	87	106
5	168	91	110
11	160	92	107
7	167	84	109
10	166	84	110
5	172	75	111
7	167	80	109
0	163	74	104
10	166	80	109
7	163	77	106
10	164	90	109
5	170	81	110
9	169	86	111
5	165	82	107
11	167	85	111
5	171	77	110
9	169	82	111
7	167	80	109
8	168	85	110
1	173	82	111
13	161	82	107
1	161	74	103
11	181	79	118
6	181	73	116
11	168	77	110
2	169	72	108
11	164	68	107
4	174	76	111
11	162	82	107
5	169	87	110
9	167	96	111
5	163	92	107
13	163	86	109
3	171	81	110
15	165	88	111
7	157	80	103
11	166	87	110
8	162	88	107
10	175	90	115
2	167	82	107
10	158	95	106
4	169	84	109
11	153	83	102
4	161	70	103
12	160	81	106
2	167	82	107
12	156	78	104
9	157	74	103
15	159	77	106
11	155	73	102
15	150	78	101
8	156	73	102
15	163	84	109
7	155	76	101
16	146	84	100
11	153	83	102
17	152	80	103
13	148	76	99
19	149	83	102
18	157	81	106
20	139	86	97
16	147	76	99
21	146	86	101
16	151	79	102
22	140	82	98
22	148	79	102
25	145	83	102
22	145	66	99
30	133	69	94
28	139	64	97
33	135	74	97
25	127	66	89
39	118	78	89
35	127	74	93
41	137	87	102
28	124	74	89
41	124	83	94
38	136	74	99
46	130	84	99
36	120	74	89
50	125	73	96
54	143	64	107
52	119	79	94
51	119	70	93
56	118	68	93
55	124	68	96
60	114	83	94
57	105	78	87
74	120	78	101
71	116	72	97
75	108	75	94
80	108	65	94
79	111	74	97
70	102	65	88
80	98	63	88
88	107	63	96
91	102	65	94
86	97	60	89
94	97	74	93
96	101	61	94
104	99	63	96
96	91	55	88
101	100	67	96
97	90	66	89
108	85	63	89
113	92	54	93
114	93	55	94
118	97	50	97
112	82	63	88
113	83	60	89
126	85	61	94
120	79	55	88
120	79	55	88
125	80	50	90
125	84	60	93
111	70	46	79
121	74	56	86
133	82	61	94
138	80	61	95
131	73	54	88
